Timestamp,Year,Favorite,Frequency,Job,Dining,Decatur,State,KungFu
11/27/2018 14:18:58,Junior,Falafel King,Once every two weeks,Yes,Yes,No,Yes,Once a month
11/27/2018 14:19:44,Sophomore,Falafel King,Once a month,Yes,Yes,No,Yes,Once a week
11/27/2018 14:20:23,Junior,Panera,Once a month,Yes,Yes,No,Yes,Once a week
11/27/2018 14:23:12,Sophomore,Falafel King,Once a week,No,Yes,No,Yes,More than once a week
11/27/2018 15:09:56,Junior,Falafel King,Once a week,Yes,Yes,No,Yes,Once every two weeks
11/28/2018 7:49:35,Sophomore,Chipotle,Once every two weeks,Yes,Yes,No,No,Never
11/28/2018 11:17:07,First year,Lucky's Burger & Brew,Once a week,No,Yes,No,Yes,Never
11/28/2018 11:27:18,First year,Chipotle,Once every two weeks,No,Yes,No,Yes,Never
11/28/2018 11:30:51,First year,Falafel King,Once every two weeks,No,Yes,No,Yes,Once a week
11/28/2018 11:33:57,First year,Dave's Cosmic Subs,Once a week,No,Yes,No,Yes,Once a month
11/28/2018 11:34:26,First year,Chipotle,Once a week,No,Yes,No,No,More than once a week
11/28/2018 11:57:28,Sophomore,Lucky's Burger & Brew,Once every two weeks,Yes,Yes,Yes,No,Once a week
11/28/2018 13:26:33,First year,Chipotle,Once every two weeks,No,Yes,No,Yes,Once every few months
11/29/2018 16:37:21,Senior,Falafel King,Once every two weeks,Yes,Yes,No,Yes,Once every two weeks
11/29/2018 16:37:38,Senior,Chipotle,Once every few months,Yes,Yes,No,Yes,Once every two weeks
11/29/2018 21:18:06,Sophomore,Panera,Once a week,Yes,Yes,No,No,More than once a week
11/29/2018 21:19:28,Junior,Wagaya,Once a week,Yes,Yes,No,Yes,Once every few months
11/29/2018 21:21:50,Sophomore,Lucky's Burger & Brew,Once every few months,Yes,Yes,No,Yes,Once a week
11/29/2018 21:22:22,Sophomore,Falafel King,Once every two weeks,Yes,Yes,No,Yes,Once a month
11/29/2018 21:23:01,Sophomore,Falafel King,Once every two weeks,Yes,Yes,No,Yes,Once a month
11/29/2018 21:44:47,Junior,Falafel King,Once every two weeks,Yes,Yes,No,No,More than once a week
11/29/2018 23:56:39,Sophomore,Chipotle,More than once a week,Yes,Yes,No,No,Once a week
11/29/2018 23:58:02,Junior,Wagaya,Once every few months,Yes,Yes,No,Yes,More than once a week
11/30/2018 0:00:00,First year,Falafel King,Once every few months,Yes,Yes,No,No,More than once a week
11/30/2018 0:01:48,Senior,Rise -n- Dine,Once a school year,Yes,Yes,No,Yes,Never
11/30/2018 0:06:11,Sophomore,Chipotle,Once a semester,Yes,Yes,No,Yes,Never
11/30/2018 14:07:49,Sophomore,Wagaya,Once a week,No,Yes,No,Yes,More than once a week
11/30/2018 14:35:34,First year,Chipotle,Once every few months,No,Yes,No,Yes,Once every few months
11/30/2018 14:37:32,Sophomore,Panera,More than once a week,No,Yes,No,Yes,Once a month
11/30/2018 14:38:43,First year,Zoës Kitchen,Once every two weeks,No,Yes,No,Yes,
11/30/2018 14:42:22,First year,Falafel King,Once a month,No,Yes,No,Yes,Never
11/30/2018 20:46:29,First year,Chipotle,Once a month,Yes,Yes,No,Yes,More than once a week
11/30/2018 20:51:52,Senior,Dave's Cosmic Subs,Once a month,Yes,Yes,No,No,Once a month
11/30/2018 20:55:55,Sophomore,Chipotle,Once every two weeks,No,Yes,No,Yes,Once every two weeks
11/30/2018 20:58:03,Sophomore,Dave's Cosmic Subs,Once every two weeks,No,Yes,No,Yes,Never
11/30/2018 20:59:40,Sophomore,Rise -n- Dine,Once every two weeks,No,Yes,No,Yes,Never
11/30/2018 21:02:57,Senior,Falafel King,Once a month,Yes,Yes,No,Yes,Once every two weeks
11/30/2018 21:04:51,Sophomore,Falafel King,Once a week,Yes,Yes,No,Yes,Once a week
11/30/2018 21:08:13,First year,Zoës Kitchen,Once a month,Yes,Yes,No,Yes,Once every two weeks
11/30/2018 21:09:40,Sophomore,Lucky's Burger & Brew,Once a month,Yes,Yes,No,Yes,Once a week
11/30/2018 21:11:50,First year,Falafel King,Once every few months,No,Yes,No,Yes,More than once a week
11/30/2018 21:13:04,Sophomore,Falafel King,Once a month,No,Yes,No,No,Once a week
11/30/2018 21:14:37,Sophomore,Rise -n- Dine,Once a month,No,Yes,No,Yes,More than once a week
11/30/2018 22:26:20,Junior,Dave's Cosmic Subs,Once every two weeks,No,Yes,No,Yes,Once a week
